z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_N2,y_N2,x_O2,y_O2,x_CO2,y_CO2,x_H2O,y_H2O
0.4475,993757.258023918,100000.0,0.0007183840819960185,0.00017571091490122014,0.8896577413354704,0.7217476743948146,0.11031215579036162,0.27814240582902894,3.0102874167864446e-05,0.00010991977615604505,8.852637437788605e-17,4.717635056894691e-16
0.4525,993804.7622764814,100000.0,0.0007205297005063895,0.00017786163179607593,0.8889114171274323,0.7207234751366637,0.11105782426099767,0.2791648386353039,3.0758611569967194e-05,0.00011168622803230348,1.1504633998547538e-16,6.083424284442989e-16
0.4575,993852.4104898212,100000.0,0.0007226804174012453,0.00018001747188124294,0.8881618636263295,0.7196976378602751,0.11180670742808325,0.2801888779765828,3.142894558708963e-05,0.00011348416314162685,1.4972189933604163e-16,7.856235169142911e-16
0.4625,993900.2030262933,100000.0,0.0007248362574864123,0.00018217845993344882,0.8874090880620236,0.7186701818618568,0.11255879775955974,0.2812145040228901,3.211417841654449e-05,0.0001153141152517667,1.9511478019627072e-16,1.0160214485843682e-15
0.4675,993948.1402499654,100000.0,0.0007269972455386181,0.00018434462069895612,0.8866530978640991,0.7176411265212861,0.11331408751821129,0.2822416968527871,3.2814617689321995e-05,0.00011717662592606875,2.5460554574413005e-16,1.3158105078417242e-15
0.4725,993996.222526614,100000.0,0.0007291634063041254,0.0001865159788922014,0.8858939006614293,0.7166104913001369,0.11407256876202475,0.28327043645525557,3.353057654584484e-05,0.00011907224460613511,3.326591743017347e-16,1.706343750248126e-15
0.4775,994044.450223721,100000.0,0.0007313347644973707,0.0001886925591944342,0.8851315042817055,0.7155782957397068,0.11483423334458183,0.2843007027315961,3.426237371227804e-05,0.00012100152869473133,4.3517783926932503e-16,2.215662459761348e-15
0.4825,994092.8237104696,100000.0,0.0007335113447996035,0.00019087438625236175,0.8843659167509386,0.7145445594590236,0.11559907291548344,0.2853324754973349,3.501033357738781e-05,0.00012296504363892326,5.699698177810883e-16,2.880622262220587e-15
0.4875,994141.343357741,100000.0,0.0007356931718575311,0.00019306148467679763,0.8835971462929232,0.7135093021528442,0.11636707892080625,0.28636573448413843,3.577478626994241e-05,0.00012496336301343302,7.473731374050445e-16,3.749703562117616e-15
0.4925,994190.0095381099,100000.0,0.000737880270281967,0.0001952538790413117,0.8828252013286716,0.7124725435896473,0.11713824260359072,0.28740045934174374,3.6556067736648146e-05,0.0001269970686042048,9.810855143423974e-16,4.886728882805139e-15
0.4975,994238.8226258411,100000.0,0.000740072664646481,0.00019745159388088627,0.8820500904758161,0.7114343036096078,0.11791255500436205,0.2884366296398936,3.7354519820613734e-05,0.00012906675049216432,1.2892694507762792e-15,6.375782727277437e-15
0.5025,994287.7829968852,100000.0,0.0007422703794860556,0.00019965465369057547,0.8812718225479754,0.7103946021225718,0.11869000696168244,0.2894742248702829,3.8170490340335076e-05,0.00013117300713716307,1.6960245272123126e-15,8.327726757759914e-15
0.5075,994336.8910288744,100000.0,0.0007444734392957448,0.0002018630829241704,0.8804904065540933,0.7093534591060152,0.11947058911273535,0.29051322444851196,3.90043331691934e-05,0.00013331644546209245,2.2333499380656617e-15,1.0888832448219811e-14
0.5125,994386.147101118,100000.0,0.0007466818685293397,0.0002040769059928675,0.8797058516977402,0.7083108946029989,0.12025429189394146,0.2915536077160495,3.9856408315458456e-05,0.00013549768093715735,2.9437618452742854e-15,1.4252225609841976e-14
0.5175,994435.5515945981,100000.0,0.0007488956915980368,0.00020629614726394368,0.8789181673763868,0.7072669287201151,0.12104110554160646,0.2925953539422018,4.072708200278902e-05,0.000137717337664295,3.8837857478587096e-15,1.8673066626524155e-14
0.5225,994485.1048919653,100000.0,0.000751114932869113,0.0002085208310594357,0.8781273631806434,0.7062215816254243,0.12183102009260016,0.29363844232609004,4.16167267512222e-05,0.00013997604846172654,5.1286185932060494e-15,2.4488695956849936e-14
0.5275,994534.8073775336,100000.0,0.000753339616664605,0.00021075098165482503,0.8773334488934676,0.7051748735463853,0.12262402538506706,0.2946828519986345,4.2525721458643e-05,0.00014227445494862894,6.7783552427324485e-15,3.214538195278942e-14
0.5325,994584.6594372762,100000.0,0.0007555697672599944,0.0002129866232777292,0.8765364344893402,0.7041268247677837,0.12342011105916834,0.29572856202454434,4.3454451482725406e-05,0.0001446132076299131,8.966307816258699e-15,4.223385135951278e-14
0.5375,994634.6614588201,100000.0,0.0007578054088828985,0.00021522778010659913,0.87573633013341,0.7030774556296499,0.12421926655785483,0.2967755514043134,4.440330872333593e-05,0.00014699296598109481,1.1870126012994131e-14,5.5536507474635405e-14
